Date,Name,Year,Letterboxd URI,Rating
2020-01-25,Enemy at the Gates,2001,https://boxd.it/29s2,2
2020-02-11,Girl Most Likely,2012,https://boxd.it/2nga,3.5
2020-02-16,Horse Girl,2020,https://boxd.it/oioi,2.5
2020-02-17,Parasite,2019,https://boxd.it/hTha,4.5
2020-02-18,Ford v Ferrari,2019,https://boxd.it/ce74,3.5
2020-02-20,Legend,2015,https://boxd.it/8qZY,4
2020-02-20,Elizabeth: The Golden Age,2007,https://boxd.it/24d2,3.5
2020-03-01,Homecoming: A Film by Beyoncé,2019,https://boxd.it/lS2Q,5
2020-03-04,Steve Jobs,2015,https://boxd.it/araG,3
2020-03-10,Spenser Confidential,2020,https://boxd.it/log4,4
2020-03-17,Brooklyn,2015,https://boxd.it/5bdk,4
2020-03-21,1917,2019,https://boxd.it/jj4y,4.5
2020-03-31,Lady Bird,2017,https://boxd.it/dGNE,3
2020-04-01,The Platform,2019,https://boxd.it/mUm6,2.5
2020-04-02,Star Wars: The Rise of Skywalker,2019,https://boxd.it/5xlK,1
2020-04-07,Salt,2010,https://boxd.it/1rtK,4
2020-04-09,The Roommate,2011,https://boxd.it/ENw,2
2020-04-12,The Social Network,2010,https://boxd.it/17ue,2
2020-04-15,A Beautiful Day in the Neighborhood,2019,https://boxd.it/i7vA,3
2020-04-20,The Impossible,2012,https://boxd.it/2N9k,2
2020-04-28,Gone in Sixty Seconds,2000,https://boxd.it/1Y4y,5
2020-05-02,Baby Boy,2001,https://boxd.it/1KGS,4
2020-05-10,Star Trek: First Contact,1996,https://boxd.it/2aTo,4
2020-05-28,Django Unchained,2012,https://boxd.it/2cCk,4
2020-05-29,Ingrid Goes West,2017,https://boxd.it/evUQ,4.5
2020-05-30,Nobody's Fool,2018,https://boxd.it/iE3Y,4
2020-06-05,Super 8,2011,https://boxd.it/dVI,4
2020-06-09,13th,2016,https://boxd.it/elNg,5
2020-06-23,Bumblebee,2018,https://boxd.it/f21O,2
2020-06-28,7500,2019,https://boxd.it/iqZY,2
2020-07-06,Wild Wild West,1999,https://boxd.it/205y,5
2020-07-24,The Devil's Advocate,1997,https://boxd.it/286k,4
2020-07-30,Greyhound,2020,https://boxd.it/iIaE,2.5
2020-08-29,The Binge,2020,https://boxd.it/o2FM,4
2020-08-30,Mad As Hell,2014,https://boxd.it/7ZaY,4.5
2020-09-04,Beastie Boys Story,2020,https://boxd.it/oIW6,4.5
2020-09-05,Capone,2020,https://boxd.it/fdAU,4
2020-09-21,Unpregnant,2020,https://boxd.it/nrH2,3.5
2020-09-26,The Social Dilemma,2020,https://boxd.it/opQI,4
2020-10-23,Kursk,2018,https://boxd.it/e5PU,4
2020-11-01,The Wretched,2019,https://boxd.it/mmtW,0.5
2020-11-01,Bad Hair,2020,https://boxd.it/jhAC,5
2020-11-01,Jessabelle,2014,https://boxd.it/67wE,2
2020-11-11,overshare: the links.net story,2015,https://boxd.it/bYhs,5
2020-11-17,Silicon Cowboys,2016,https://boxd.it/dg9e,4
2020-12-07,The Queen's Gambit,2020,https://boxd.it/s1Ym,3
2020-12-10,Brink 2: Val's Revenge,2011,https://boxd.it/t2vi,5
2020-12-13,Austin Powers: International Man of Mystery,1997,https://boxd.it/29y0,0.5
2020-12-14,Boogie Nights,1997,https://boxd.it/23um,4
2020-12-27,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,https://boxd.it/hSyO,1
2020-12-31,Steve Jobs: The Man in the Machine,2015,https://boxd.it/axnG,4
2021-01-02,No Country for Old Men,2007,https://boxd.it/21ew,5
2021-01-04,War Dogs,2016,https://boxd.it/9SlO,4
2021-01-05,Best Laid Plans,1999,https://boxd.it/1GBk,4
2021-01-05,Ad Astra,2019,https://boxd.it/ePzI,4
2021-01-07,Risky Business,1983,https://boxd.it/1YUE,1.5
2021-01-08,The Girl with the Dragon Tattoo,2011,https://boxd.it/2Pa,5
2021-01-08,Ready Player One,2018,https://boxd.it/aZes,4
2021-01-10,Friday Night Lights,2004,https://boxd.it/1Qdi,4
2021-01-12,Asphalt Burning,2020,https://boxd.it/ihLy,5
2021-01-25,Rush,2013,https://boxd.it/3lyS,4
