Table 1/2: Legal Demands,,,,,,,,,,,,,,,
Time period start,Country,Court Orders,Other legal demands,Combined requests,Court orders compliance rate,Other legal demands compliance rate,Combined compliance rate,Court orders accounts specified,Other legal demands accounts specified,Combined accounts specified,Combined accounts withheld,Combined tweets withheld,Court orders accounts TOS,Other legal demands accounts TOS,Combined accounts TOS
2018-07-01,Austria,0,2,2,(null),(null),(null),0,0,2,0,0,0,0,0
2018-07-01,Brazil,92,27,119,(null),(null),(null),0,0,512,1,142,0,0,35
2018-07-01,Bulgaria,0,1,1,(null),(null),(null),0,0,7,0,0,0,0,3
2018-07-01,Canada,0,6,6,(null),(null),(null),0,0,9,0,0,0,0,3
2018-07-01,Colombia,0,4,4,(null),(null),(null),0,0,4,0,0,0,0,1
2018-07-01,Cyprus,0,2,2,(null),(null),(null),0,0,2,0,0,0,0,1
2018-07-01,Czech Republic,0,2,2,(null),(null),(null),0,0,2,0,0,0,0,1
2018-07-01,Denmark,0,4,4,(null),(null),(null),0,0,5,0,0,0,0,3
2018-07-01,Dominican Republic,0,1,1,(null),(null),(null),0,0,1,0,0,0,0,0
2018-07-01,Ecuador,0,4,4,(null),(null),(null),0,0,25,0,0,0,0,20
2018-07-01,France,0,110,110,(null),(null),(null),0,0,126,1,6,0,0,58
2018-07-01,Germany,3,39,42,(null),(null),(null),0,0,44,0,39,0,0,10
2018-07-01,Greece,0,1,1,(null),(null),(null),0,0,2,0,0,0,0,0
2018-07-01,Hong Kong SAR,0,2,2,(null),(null),(null),0,0,2,0,0,0,0,1
2018-07-01,India,10,657,667,(null),(null),(null),0,0,2228,95,114,0,0,320
2018-07-01,Indonesia,0,327,327,(null),(null),(null),0,0,3015,0,0,0,0,366
2018-07-01,Ireland,0,8,8,(null),(null),(null),0,0,107,0,0,0,0,1
2018-07-01,Israel,0,2,2,(null),(null),(null),0,0,3,0,0,0,0,2
2018-07-01,Italy,1,5,6,(null),(null),(null),0,0,9,0,0,0,0,4
2018-07-01,Japan,16,663,679,(null),(null),(null),0,0,1679,0,363,0,0,1187
2018-07-01,Kuwait,0,3,3,(null),(null),(null),0,0,3,0,0,0,0,0
2018-07-01,Kyrgyzstan,4,15,19,(null),(null),(null),0,0,37,0,0,0,0,8
2018-07-01,Macedonia,0,1,1,(null),(null),(null),0,0,4,0,0,0,0,0
2018-07-01,Malaysia,0,8,8,(null),(null),(null),0,0,10,0,0,0,0,1
2018-07-01,Mexico,2,16,18,(null),(null),(null),0,0,22,0,0,0,0,8
2018-07-01,Nepal,0,3,3,(null),(null),(null),0,0,3,0,0,0,0,3
2018-07-01,Netherlands,0,3,3,(null),(null),(null),0,0,8,0,0,0,0,0
2018-07-01,Oman,0,2,2,(null),(null),(null),0,0,2,0,0,0,0,1
2018-07-01,Pakistan,1,192,193,(null),(null),(null),0,0,2349,0,0,0,0,204
2018-07-01,Panama,32,1,33,(null),(null),(null),0,0,51,0,0,0,0,0
2018-07-01,Philippines,0,1,1,(null),(null),(null),0,0,2,0,0,0,0,2
2018-07-01,Poland,0,3,3,(null),(null),(null),0,0,5,0,0,0,0,0
2018-07-01,Qatar,0,3,3,(null),(null),(null),0,0,12,0,0,0,0,1
2018-07-01,Russia,316,3028,3344,(null),(null),(null),0,0,3391,15,1441,0,0,1124
2018-07-01,Saudi Arabia,0,6,6,(null),(null),(null),0,0,6,0,0,0,0,3
2018-07-01,Slovenia,0,1,1,(null),(null),(null),0,0,1,0,0,0,0,0
2018-07-01,South Korea,53,253,306,(null),(null),(null),0,0,1712,0,0,0,0,1461
2018-07-01,Spain,4,6,10,(null),(null),(null),0,0,41,0,2,0,0,11
2018-07-01,Thailand,0,1,1,(null),(null),(null),0,0,1,0,0,0,0,0
2018-07-01,Turkey,597,4417,5014,(null),(null),(null),0,0,9155,72,355,0,0,1588
