Table 1/2: Government Information Requests,,,,,,,,,,,,
Time period start,Country,Routine requests,Emergency requests,Combined requests,Routine compliance rate,Emergency compliance rate,Combined compliance rate,Routine accounts specified,Emergency accounts specified,Combined accounts specified,Preservation accounts,Preservation requests
2019-01-01,Netherlands,11,2,13,0.73,0.5,0.69,25,2,27,46,43
2019-01-01,New Zealand,0,3,3,(null),0.67,0.67,0,4,4,4,2
2019-01-01,Nigeria,0,2,2,(null),0,0,0,2,2,0,0
2019-01-01,Pakistan,18,5,23,0,0,0,65,5,70,8,8
2019-01-01,Peru,0,0,0,(null),(null),(null),0,0,0,1,1
2019-01-01,Poland,35,21,56,0,0.05,0.02,42,21,63,3,3
2019-01-01,Portugal,5,1,6,0.4,0,0.33,6,2,8,2,1
2019-01-01,Qatar,2,2,4,0,0,0,2,2,4,0,0
2019-01-01,Serbia,14,13,27,0,0.15,0.07,18,18,36,0,0
2019-01-01,Singapore,9,8,17,0,0.13,0.06,12,8,20,0,0
2019-01-01,Slovenia,1,1,2,0,0,0,1,1,2,0,0
2019-01-01,South Korea,93,39,132,0.19,0.62,0.32,220,43,263,0,0
2019-01-01,Spain,139,11,150,0.31,0.55,0.33,269,11,280,75,33
2019-01-01,Sweden,11,0,11,0.64,(null),0.64,0,0,0,1,1
2019-01-01,Switzerland,2,2,4,0,0.5,0.25,2,2,4,0,0
2019-01-01,Turkey,340,10,350,0,0,0,584,12,596,0,0
2019-01-01,United Arab Emirates,0,2,2,(null),0,0,0,2,2,0,0
2019-01-01,United Kingdom,358,300,658,0.62,0.73,0.67,469,341,810,91,37
2019-01-01,United States,1669,451,2120,0.76,0.48,0.7,3654,496,4150,2022,1054
2018-07-01,Argentina,35,4,39,0.06,0.25,0.08,45,4,49,25,19
2018-07-01,Australia,15,5,20,0.87,0.4,0.75,16,5,21,45,13
2018-07-01,Austria,5,0,5,0.2,(null),0.2,0,0,0,1,1
2018-07-01,Belgium,22,2,24,0.82,1,0.83,28,2,30,2,1
2018-07-01,Brazil,54,1,55,0.35,0,0.35,119,1,120,4,1
2018-07-01,Canada,8,40,48,0.5,0.6,0.58,8,41,49,113,40
2018-07-01,Chile,9,3,12,0,0,0,12,3,15,0,0
2018-07-01,Colombia,27,14,41,0,0.21,0.07,30,21,51,4,4
2018-07-01,Czech Republic,0,0,0,(null),(null),(null),0,0,0,2,2
2018-07-01,Denmark,3,1,4,0.33,0,0.25,3,1,4,3,2
2018-07-01,Dominican Republic,6,6,12,0,0,0,7,6,13,5,2
2018-07-01,Ecuador,3,0,3,0,(null),0,0,0,0,47,3
2018-07-01,El Salvador,0,0,0,(null),(null),(null),0,0,0,5,4
2018-07-01,Finland,4,0,4,0.5,(null),0.5,0,0,0,1,1
