"Date","Abbreviation","Expansions","Label","Group"
"Feb 5, 2022","tot2","1","Applescript to return the contents of The Second Tot.","Tot"
"Feb 5, 2022","tot3","1","Applescript to return the contents of The Third Tot.","Tot"
"Feb 5, 2022","tot4","1","Applescript to return the contents of The Fourth Tot.","Tot"
"Feb 5, 2022","tot5","1","Applescript to return the contents of The Fifth Tot.","Tot"
"Feb 5, 2022","tot6","1","Applescript to return the contents of The Sixth Tot.","Tot"
"Feb 5, 2022","tot7","1","Applescript to return the contents of The Seventh Tot.","Tot"
"Feb 5, 2022","tr","1","URL to the GitHub Gist for my Text Replacement menu.","Extratext"
"Feb 5, 2022","ts","1","Timestamp in DavodTime","Extratext"
"Feb 5, 2022","vcf","1","Contact Card Raw File Link","Extratext"
"Feb 5, 2022","wcli","1","URL to the GitHub Repository for the Write.as Command Line Interface.","Extratext"
"Feb 5, 2022","wli1","1","We Live in a Time","Text Fuck"
"Feb 5, 2022","wshort","1","URL to my "Post to Write.as Blog (macOS)” shortcut on RoutineHub.","Extratext"
"Feb 7, 2022","comment","2","Comment tag for Remark.as.","Extratext"
"Feb 7, 2022","gero","1","URL to my music-listening Raindrop collection.","Extratext"
"Feb 7, 2022","issue","2","Construct a URL to a GitHub Issue.","Extratext"
"Feb 7, 2022","mdbio","4","Biography","Extratext"
"Feb 7, 2022","reading","2","URL to my Reading List Raindrop collection.","Extratext"
"Feb 7, 2022","remark","1","URL to my Remark.as profiile.","Extratext"
"Feb 7, 2022","rh","1","Url to my RoutineHub profile.","Extratext"
"Feb 7, 2022","scrubs","1","URL to the Gist for my Siri Shortcuts for Scrubs list.","Extratext"
"Feb 7, 2022","shortcc","1","Contact links list specifically for comments in published Siri Shortcuts.","Extratext"
"Feb 7, 2022","tot7","2","Applescript to return the contents of The Seventh Tot.","Tot"
"Feb 8, 2022","as","1","Blog post string to edit page.","Extratext"
"Feb 8, 2022","bilge","2","Canonical URL of a blog post string.","Extratext"
